Departamento;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Total Provincia;68201;67714;85531;93478;96211;97171;99714;101269;100639;104516;109969;113341;115950;118375;122285;126103;129364;128944;130096;132799;137396;141894;141969;136359
Calamuchita;842;884;1297;1437;1469;1596;1682;1696;1774;1849;1963;1989;1944;1956;2039;2145;2137;2135;2212;2336;2497;2573;2516;2526
Capital;27736;27539;31014;35455;36486;36370;37506;37893;37102;39165;43065;45012;45914;46891;48905;50358;51915;51540;51899;52240;54115;55499;54970;51942
Col�n;4007;3915;5133;5782;6037;6208;6425;6633;6583;6865;7282;7315;7557;7850;8047;8313;8576;9005;9003;9003;9438;9992;10179;9835
Cruz del Eje;1390;1486;1961;2088;2197;2129;2111;2172;1869;2089;2069;2116;2058;2108;2170;2226;2279;2300;2323;2353;2501;2508;2439;2375
General Roca;686;710;1107;1147;1124;1146;1207;1212;1231;1265;1241;1235;1292;1349;1406;1407;1370;1251;1192;1279;1357;1426;1469;1427
General San Mart�n;3024;3077;3976;4194;4285;4387;4364;4373;4391;4708;4832;5038;5258;5431;5654;5793;5921;5894;5911;6185;6252;6519;6560;6329
Ischil�n;752;729;979;1102;1136;1150;1178;1226;1263;1271;1257;1316;1350;1373;1354;1572;1442;1381;1466;1554;1522;1576;1573;1519
Ju�rez Celman;1147;1147;1698;1940;1886;1900;2053;2082;2071;2148;2190;2154;2193;2246;2168;2210;2393;2401;2441;2516;2576;2774;2834;2738
Marcos Ju�rez;2290;2204;3359;3136;3264;3263;3413;3345;3478;3472;3588;3629;3871;4047;3990;4085;4191;4128;4046;4115;4305;4310;4296;4226
Minas;129;124;152;179;164;158;146;137;119;142;144;147;134;131;158;163;169;174;174;163;178;161;158;162
Pocho;102;100;108;129;152;145;128;125;121;117;137;141;140;124;136;125;111;117;118;129;123;130;124;140
Presidente Roque S�enz Pe�a;767;748;1304;1292;1335;1345;1298;1309;1367;1363;1415;1473;1459;1452;1491;1568;1596;1500;1484;1532;1618;1661;1643;1564
Punilla;3327;3368;4227;4468;4723;4727;4812;5024;5062;5144;5279;5407;5508;5647;6004;6078;6364;6449;6505;6635;6842;7099;7075;6787
R�o Cuarto;5009;4767;5917;6271;6411;6666;6950;7103;7000;7228;7079;7583;7837;8086;8149;8523;8760;8852;9047;9267;9482;9930;10267;9979
R�o Primero;990;1055;1446;1489;1515;1526;1672;1665;1609;1641;1769;1722;1651;1794;1868;1969;2037;1991;2003;2136;2210;2304;2286;2253
R�o Seco;310;322;383;413;467;437;482;478;488;520;542;528;520;509;594;622;628;624;660;677;665;653;645;580
R�o Segundo;2132;2163;3265;3318;3375;3396;3447;3432;3435;3386;3420;3507;3700;3596;3646;3749;3865;3879;3957;4038;4155;4312;4293;4161
San Alberto;760;766;1038;1112;1112;1071;1068;1115;1226;1216;1197;1193;1254;1202;1195;1270;1320;1305;1309;1383;1423;1449;1460;1447
San Javier;1276;1230;1487;1760;1726;1715;1776;1801;1924;1899;1921;1952;1962;1966;1997;2083;2119;2059;2159;2309;2445;2498;2450;2355
San Justo;4136;4110;5713;6025;6138;6278;6484;6636;6912;6976;7274;7432;7424;7677;7798;7906;7983;7863;7998;8285;8531;8848;9038;8755
Santa Mar�a;1675;1710;2182;2454;2569;2663;2718;2892;2919;3023;3074;3116;3235;3290;3535;3682;3838;3895;4023;4270;4412;4611;4670;4750
Sobremonte;94;114;167;157;162;170;165;174;165;164;186;151;172;190;182;176;170;157;154;177;169;150;139;144
Tercero Arriba;2441;2317;3389;3604;3757;3793;3884;3971;3855;3932;3961;4009;4181;4059;4174;4377;4398;4314;4451;4595;4765;4831;4828;4600
Totoral;416;346;568;660;639;628;581;581;648;627;629;620;633;659;701;739;693;769;806;839;827;832;888;880
Tulumba;263;274;446;449;450;426;455;450;411;444;506;445;451;411;449;463;539;529;522;499;487;537;522;517
Uni�n;2500;2509;3215;3417;3632;3578;3709;3744;3616;3862;3949;4111;4252;4331;4475;4501;4550;4432;4233;4284;4501;4711;4647;4368
